candidate_id,rank,score,reasoning
CAND_0061257,1,126.632,"Staff Machine Learning Engineer (8.0yr) @ LinkedIn → Yellow.ai | 2 IR roles | 3 rare IR skills: Information Retrieval Systems, Search Infrastructure, Indexing Algorithms | assessed: Haystack 70 | OTW; active 46d ago; notice=30d | saved by 80 recruiters | RR=87% | VJTI Mumbai | salary 49.7–52.3 LPA"
CAND_0006567,2,121.328,"Senior AI Engineer (7.8yr) @ Meta → Razorpay → Glance | 2 IR roles | 2 rare IR skills: Ranking Systems, Text Encoders | assessed: Fine-tuning LLMs 89, Embeddings 64 | OTW; active 29d ago; notice=60d (acceptable) | saved by 76 recruiters | RR=79% | IIT Bombay | salary 44.2–53.9 LPA"
CAND_0081846,3,119.04,Lead AI Engineer (6.7yr) @ Razorpay → Paytm | 2 IR roles | 1 rare IR skills: Learning to Rank | OTW; active 29d ago; notice=30d | saved by 62 recruiters | RR=73% | IIT Hyderabad | salary 33.3–52.8 LPA
CAND_0068351,4,117.07488,"Lead AI Engineer (6.3yr) @ Sarvam AI → Verloop.io → Microsoft | 3 IR roles | 3 rare IR skills: Text Encoders, Ranking Systems, Information Retrieval Systems | active 51d ago; notice=0d | saved by 66 recruiters | RR=86% | IIIT Bangalore | salary 34.8–57.1 LPA"
CAND_0037980,5,111.78808,"Senior Applied Scientist (9.0yr) @ Niramai → Verloop.io → Salesforce | 2 IR roles | 4 rare IR skills: Search Infrastructure, Indexing Algorithms, Text Encoders | assessed: Vector Search 72 | OTW; active 65d ago; notice=0d | saved by 65 recruiters | BITS Pilani | salary 47.4–50.5 LPA"
CAND_0093193,6,108.44252800000001,"Senior Machine Learning Engineer (7.8yr) @ Niramai → Netflix | 2 IR roles | 4 rare IR skills: Ranking Systems, Text Encoders, Indexing Algorithms | assessed: Learning to Rank 87, Sentence Transformers 73 | OTW; active 44d ago; notice=45d (acceptable) | saved by 43 recruiters | Jadavpur University | salary 46.3–50.5 LPA"
CAND_0077337,7,103.832,Staff Machine Learning Engineer (7.0yr) @ Razorpay → Glance → Aganitha | 4 IR roles | assessed: Semantic Search 63 | OTW; active 6d ago; notice=60d (acceptable) | saved by 32 recruiters | RR=95% | GitHub=68 | Georgia Tech | salary 46.0–51.3 LPA
CAND_0039754,8,100.00800000000001,Senior Applied Scientist (16.2yr) @ Meta → Apple → Observe.AI | 3 IR roles | assessed: Fine-tuning LLMs 96 | OTW; active 18d ago; notice=30d | saved by 51 recruiters | RR=81% | GitHub=77 | IIT Hyderabad | salary 30.1–62.1 LPA
CAND_0030468,9,97.30336000000001,"Senior Applied Scientist (5.3yr) @ Swiggy → CRED → Wysa | 1 IR role | 3 rare IR skills: Information Retrieval Systems, Text Encoders, Ranking Systems | assessed: Sentence Transformers 97, RAG 80 | OTW; active 29d ago; notice=45d (acceptable) | RR=78% | IIT Delhi | salary 46.5–59.1 LPA"
CAND_0043228,10,93.803776,Applied ML Engineer (6.8yr) @ Zoho → Vedantu → Yellow.ai | 2 IR roles | 1 rare IR skills: Learning to Rank | assessed: Haystack 65 | active 10d ago; notice=30d | saved by 65 recruiters | IIT Madras | salary 32.8–43.2 LPA
CAND_0080766,11,92.42700799999999,"Staff Machine Learning Engineer (8.8yr) @ Aganitha → Swiggy → Haptik | 3 IR roles | 2 rare IR skills: Search Infrastructure, Information Retrieval Systems | assessed: Weaviate 84 | active 53d ago; notice=0d | saved by 27 recruiters | RV College of Engineering | salary 41.4–52.7 LPA"
CAND_0071974,12,91.737088,"Senior AI Engineer (7.8yr) @ Netflix → Meta → Mad Street Den | 2 IR roles | 1 rare IR skills: Learning to Rank | assessed: Learning to Rank 77, Weaviate 69 | OTW; active 46d ago; notice=45d (acceptable) | saved by 50 recruiters | RR=76% | GitHub=82 | NIT Warangal | salary 46.7–58.1 LPA"
CAND_0018499,13,91.05199999999999,Senior Machine Learning Engineer (7.2yr) @ Zomato → Google → Flipkart | 2 IR roles | 1 rare IR skills: Learning to Rank | assessed: Weaviate 72 | OTW; active 19d ago; notice=15d | GitHub=94 | Massachusetts Institute of Technology | salary 36.8–56.6 LPA
CAND_0093912,14,88.256,Senior Data Scientist (5.2yr) @ Razorpay → Flipkart → Apple | 3 IR roles | 1 rare IR skills: Learning to Rank | OTW; active 21d ago; notice=30d | saved by 56 recruiters | GitHub=81 | RV College of Engineering | salary 31.4–44.3 LPA
CAND_0076163,15,88.0,"NLP Engineer (6.8yr) @ Ola → Zoho | 2 IR roles | assessed: Weaviate 78, Semantic Search 58 | OTW; active 22d ago; notice=60d (acceptable) | saved by 62 recruiters | RR=84% | GitHub=84 | VJTI Mumbai | salary 27.4–47.6 LPA"
